id,title,all_authors,author_gender,translation,publisher,publication_date,subset,award,category,orthography
bstream_012,Där inga ögon ser,Dag Öhrlund,M,no,Lind & Co,2016-05-23,beststreamer,,CRIME,quot
bstream_013,Motvind,"Dag Öhrlund, Dan Buthler",M,no,Lind & Co,2015-12-23,beststreamer,,CRIME,quot
bstream_014,På sex meters djup,Denise Rudberg,F,no,Bonnier Audio,2016-10-19,beststreamer,,CRIME,dash
bstream_015,Prio ett,Emelie Schepp,F,no,Bonnier Audio,2016-05-16,beststreamer,,CRIME,dash
bstream_017,Mordbrännaren,"Anders Gustafson, Johan Kant",M,no,Bokfabriken,2016-03-24,beststreamer,,CRIME,dash
bstream_018,Midnattsflickor,Jonas Moström,M,no,Lind & Co,2016-07-04,beststreamer,,CRIME,quot
bstream_019,När livet börjar om,Lucy Dillon,F,transl,Bonnier Audio,2016-01-27,beststreamer,,ROMANCE,quot
bstream_020,Välkommen hem,Ninni Schulman,F,no,Bonnier Audio,2016-08-17,beststreamer,,CRIME,quot
bstream_021,Sov du lilla videung,"Cilla Börjlind, Rolf Börjlind",2,no,Norstedts,2016-08-11,beststreamer,,CRIME,dash
bstream_022,Den hemliga kvinnan,Anna Ekberg,F,no,Norstedts,2017-03-30,beststreamer,,CRIME,dash
bstream_023,Det du inte vet,Anna Jansson,F,no,Norstedts,2017-03-09,beststreamer,,CRIME,quot
bstream_024,Tryggare kan ingen vara,Dag Öhrlund,M,no,Lind & Co,2016-12-23,beststreamer,,CRIME,quot
bstream_025,Uppståndelsen,"Dag Öhrlund, Dan Buthler",M,no,Lind & Co,2017-05-29,beststreamer,,CRIME,quot
bstream_026,De sju som såg,Denise Rudberg,F,no,Bonnier Audio,2017-10-11,beststreamer,,CRIME,dash
bstream_027,Trogen intill döden,Jonas Moström,M,no,Lind & Co,2017-07-06,beststreamer,,CRIME,quot
bstream_028,Prästens lilla flicka,Susan Casserfelt,F,no,Word Audio Publishing,2016-12-21,beststreamer,,CRIME,quot
bstream_029,Den tatuerade cirkeln,Susan Casserfelt,F,no,Word Audio Publishing,2017-02-24,beststreamer,,CRIME,quot
bstream_030,Kvinnan på bänken,Anna Jansson,F,no,Norstedts,2018-03-08,beststreamer,,CRIME,quot
bstream_031,Bakom stängda dörrar,B.A. Paris,F,transl,Jentas SE,2017-12-15,beststreamer,,CRIME,quot
bstream_033,5:e Moseboken,Christina Larsson,F,no,Word Audio Publishing,2018-01-16,beststreamer,,CRIME,quot
bstream_034,Nådastöten,Christina Larsson,F,no,Word Audio Publishing,2018-02-16,beststreamer,,CRIME,quot
bstream_035,Se till mig som liten är,Dag Öhrlund,M,no,Lind & Co,2018-01-15,beststreamer,,CRIME,quot
bstream_036,Domaren,Dag Öhrlund,M,no,Lind & Co,2018-08-20,beststreamer,,CRIME,quot
bstream_037,Hämndens pris,Erik Lewin,M,no,Bokförlaget NoNa,2018-06-07,beststreamer,,CRIME,quot
bstream_038,Änglabarnet,"Anders Gustafson, Johan Kant",M,no,Bokfabriken,2018-02-12,beststreamer,,CRIME,quot
bstream_039,Skuggorna ruva,Jonas Moström,M,no,Lind & Co,2018-09-17,beststreamer,,CRIME,quot
bstream_040,Ondskans ansikte,Mats Ahlstedt,M,no,Bokfabriken,2018-03-16,beststreamer,,CRIME,dash
bstream_042,Mitt hjärta är ditt,Anna Jansson,F,no,Norstedts,2019-03-10,beststreamer,,CRIME,quot
bstream_043,Dotter saknad,Anna Jansson,F,no,Norstedts,2019-09-05,beststreamer,,CRIME,quot
bstream_044,Ingen lämnas kvar,Dag Öhrlund,M,no,Lind & Co,2019-05-31,beststreamer,,CRIME,quot
bstream_045,Under nio nätter,Denise Rudberg,F,no,Bonnier Audio,2019-10-09,beststreamer,,CRIME,dash
bstream_046,Snödrev,Helene Tursten,F,no,Storyside,2018-12-20,beststreamer,,CRIME,dash
bstream_047,Offer 2117,Jussi Adler-Olsen,M,transl,Bonnier Audio,2019-11-05,beststreamer,,CRIME,quot
bstream_048,Sista färjan från Ystad,Karin Alfredsson,F,no,Bokfabriken,2019-04-14,beststreamer,,CRIME,dash
bstream_049,Trojanen,Mats Ahlstedt,M,no,Bokfabriken,2019-03-09,beststreamer,,CRIME,dash
bstream_050,Morden på Mörkö,Samuel Karlsson,M,no,Lind & Co,2019-01-15,beststreamer,,CRIME,quot
bstream_052,När regnen upphör,Dag Öhrlund,M,no,Lind & Co,2020-11-04,beststreamer,,CRIME,quot
bstream_053,Dödslistan,Anna Jansson,F,no,Norstedts,2020-03-05,beststreamer,,CRIME,quot
bstream_055,Fruset guld,"Cilla Börjlind, Rolf Börjlind",2,no,Norstedts,2020-07-09,beststreamer,,CRIME,dash
